timestamp,event,enter_count,exit_count
2025-02-28 22:56:22,exit,0,1
2025-02-28 22:56:38,exit,0,2
2025-02-28 22:56:49,enter,1,2
2025-02-28 22:57:03,enter,2,2
2025-02-28 22:57:15,enter,3,2
2025-02-28 22:57:25,exit,3,3
2025-02-28 22:57:32,enter,4,3
2025-02-28 22:57:33,enter,5,3
2025-02-28 22:57:40,exit,5,4
2025-02-28 22:57:52,enter,6,4
2025-02-28 22:58:02,exit,6,5
2025-02-28 22:58:13,enter,7,5
2025-02-28 22:58:17,exit,7,6
2025-02-28 22:58:23,exit,7,7
2025-02-28 22:58:27,enter,8,7
2025-02-28 22:58:38,enter,9,7
2025-02-28 22:58:47,enter,10,7
